"district","Year","timePeriod","Production","AreaHarvested"
15,2014,2009,1216762666750.53,53258.34
16,2014,2009,538878118260.1,24432.18
51,2014,2009,56796420311,1773.78
53,2014,2009,96380497475.4,2733.98
55,2014,2009,117420144623,4297.25
57,2014,2009,174867981453.24,6427.32
59,2014,2009,51449648797.46,1873.73
64,2014,2009,29990518296.2,988.64
65,2014,2009,8653726791.2,390.9
66,2014,2009,48570147086.4,1896.69
81,2014,2009,192785264121.128,7745.94
82,2014,2009,55853013419.548,2339.12
83,2014,2009,15328195225.272,650.79
84,2014,2009,50143108367.1,2206.99
91,2014,2009,104119170708.496,3720.6766
92,2014,2009,93667049355.788,3517.35
93,2014,2009,83074162118.328,3909.05
94,2014,2009,58519677856.3,2997.96
95,2014,2009,82648404329.768,3451.74
96,2014,2009,102177576551.332,3880.78
97,2014,2009,26362862407.8,985.23
145,2014,2009,57871916635.8,2916.105
146,2014,2009,82407118266.3,4094.57
147,2014,2009,136508653681.8,6223.38
1,2015,2009,225955414064.476,7493.84
3,2015,2009,688727382529.1,22311.5
7,2015,2009,283373124634.192,12131.14
10,2015,2009,51628565022.9,2513.62
12,2015,2009,543554881248.068,26800.4793
13,2015,2009,819049706536.255,29590.1609
15,2015,2009,1371869291256.59,52671.0152
16,2015,2009,599500608057.7,23805.16
51,2015,2009,64391654767.3,1899.54
53,2015,2009,103822008905.6,2747.17
55,2015,2009,116016366699.312,4317.25
57,2015,2009,181237648614.948,6438.08
59,2015,2009,48880104100.108,1816.4
64,2015,2009,31552864935.6,1019.01
65,2015,2009,7767305907,365.06
66,2015,2009,49352456500.4,1898.84
81,2015,2009,198391225202.737,7722.606
82,2015,2009,60242997907.22,2393.82
83,2015,2009,18384071323.72,617.86
84,2015,2009,55572074465.632,2236.85
91,2015,2009,120970431474.86,3829.26
92,2015,2009,108448419375.068,3540.65
93,2015,2009,96040793346,3955.62
94,2015,2009,66143039403.1,3018.03
95,2015,2009,89245145056.84,3422.23
96,2015,2009,109165978948.08,3922.18
97,2015,2009,29845532087,994.71
145,2015,2009,66356552587.3,2798.63
146,2015,2009,108494529508.1,4246.91
147,2015,2009,169240943591.8,6305.88
1,2016,2009,221397997865.956,7466.64
3,2016,2009,673617419270.948,22195.11
7,2016,2009,264030576864.436,12031.92
10,2016,2009,53284067693.541,2620.7458
12,2016,2009,498832362030.092,27114.35
