"district","timePeriod","nFarms","nCrops","nCropsFarmMin","nCropsFarmMax","stabilityProduction0","stabilityProduction1","stabilityProduction2","asynchronyBetween_region0","asynchronyBetween_region1","asynchronyBetween_region2","asynchronyBetween_farm0","asynchronyBetween_farm1","asynchronyBetween_farm2","asynchronyWithin0","asynchronyWithin1","asynchronyWithin2","areaHarvested"
16,2009,71,6,1,5,11.9025259906522,12.1906796251009,16.1555593045655,0.3170631789,0.2912642856,0.2118795615,0.512164620215971,0.498258040294261,0.443959858596206,0.754661487863642,0.718011775423256,0.686315738544135,239090.9721
12,1999,85,9,1,6,5.32889093971086,5.42322440540358,7.89905630338319,0.5115470282,0.3473585407,0.2729768883,0.452098499807295,0.415643765609121,0.38807063381378,0.545945112848007,0.542001248382282,0.512867593134899,176340.38
12,2009,92,9,1,8,6.91569966280798,7.85511175352705,18.91548084674,0.5441862401,0.5499218377,0.6611242402,0.546222706259734,0.540939010710711,0.579914482843224,0.606738660667015,0.603354334406327,0.758863666153521,263769.0162
145,1999,42,6,1,5,8.23553624640878,11.1301294927173,16.0652612547185,0.2172332691,0.2722620931,0.3068138747,0.455461106031894,0.502300509108108,0.541730827162863,0.744774988711168,0.795695968244546,0.789219574066304,33254.0888
145,2009,30,6,1,4,11.4949146457034,19.9723138891299,31.0349310535728,0.5576916735,0.7596353773,0.7325620551,0.548559131585218,0.610783939425949,0.574488945479551,0.733458953265259,0.779627475392037,0.804761431755216,28101.9175
97,1999,76,6,1,4,9.33626141999577,11.5447659809959,15.7374904175937,0.2576539443,0.2936911388,0.2725437984,0.477336315736957,0.486386300468365,0.510040829782631,0.783073572854871,0.788886232173832,0.741331574020996,16469.65
97,2009,31,7,1,4,17.1078261455839,17.5157152597978,22.4536164283824,0.7365496701,0.7164875289,0.4576432376,0.501889339531173,0.514091927922024,0.476944459567854,0.766275896886687,0.71574728991632,0.77308261563562,9747.54
82,1999,58,8,1,5,9.28478822993819,12.964195035878,15.8778446182769,0.3408174141,0.4510476931,0.3125240222,0.496234443447577,0.541567275018507,0.50081047128937,0.724964179241764,0.758347883162288,0.697521666118258,22430.9181
82,2009,51,7,1,5,14.8600354865668,15.5384763626075,23.5582650614803,0.5931090728,0.5879357594,0.5461323287,0.590121155848934,0.598157929809662,0.586806742029067,0.852017131965246,0.836980529512046,0.845211788561087,23716.6089
10,1999,51,5,1,4,5.62512654467896,10.1322601776148,20.1709240663424,0.2287332554,0.3414865438,0.612900311,0.406000304271093,0.444072960715058,0.468079020601449,0.666349363399675,0.78361710992526,0.789840715270331,19677.9714
10,2009,54,5,1,5,16.2541270071914,19.0813965788857,31.877418192037,0.4895935743,0.4485274117,0.5847952357,0.480150200258365,0.501411372227857,0.49418049184916,0.907282402456075,0.919747134753177,0.913744560436093,25367.3869
83,1999,24,7,1,4,7.59602703428959,15.4553367989223,16.7194596075091,0.4008237096,0.6683574863,0.4399307636,0.348030830870067,0.414353762994604,0.333739937741156,0.698144807343264,0.738075431047015,0.6873089414112,4416.2917
83,2009,15,6,1,4,9.35482261180158,10.0931043520054,13.5765867271598,0.6944607839,0.7085220816,0.5923232644,0.483555304121892,0.477162930962651,0.427074814081663,0.413766326639936,0.400729111251582,0.488244657500421,6237.77
